x,y,depth_norm,depth_mm
0,0,0.4574,3659
4,0,0.4539,3630
8,0,0.4560,3648
12,0,0.4568,3654
16,0,0.4591,3672
20,0,0.4610,3687
24,0,0.4613,3690
28,0,0.4612,3689
32,0,0.4593,3674
36,0,0.4579,3663
40,0,0.4570,3655
44,0,0.4567,3653
48,0,0.4561,3649
52,0,0.4555,3644
56,0,0.4551,3641
60,0,0.4557,3645
64,0,0.4563,3650
68,0,0.4571,3656
72,0,0.4566,3652
76,0,0.4561,3648
80,0,0.4558,3646
84,0,0.4559,3646
88,0,0.4560,3648
92,0,0.4564,3651
96,0,0.4566,3652
100,0,0.4568,3654
104,0,0.4574,3659
108,0,0.4584,3667
112,0,0.4597,3677
116,0,0.4611,3688
120,0,0.4628,3702
124,0,0.4647,3717
128,0,0.4668,3734
132,0,0.4685,3748
136,0,0.4705,3763
140,0,0.4730,3783
144,0,0.4763,3810
148,0,0.4799,3839
152,0,0.4841,3872
156,0,0.4885,3907
160,0,0.4935,3947
164,0,0.4988,3990
168,0,0.5041,4033
172,0,0.5095,4076
176,0,0.5146,4116
180,0,0.5191,4152
184,0,0.5242,4193
188,0,0.5303,4242
192,0,0.5365,4291
196,0,0.5425,4339
200,0,0.5484,4387
204,0,0.5550,4439
208,0,0.5621,4496
212,0,0.5698,4558
216,0,0.5779,4623
220,0,0.5870,4695
224,0,0.5970,4776
228,0,0.6073,4858
232,0,0.6178,4942
236,0,0.6287,5029
240,0,0.6402,5121
244,0,0.6521,5216
248,0,0.6640,5311
252,0,0.6759,5406
256,0,0.6871,5496
260,0,0.6977,5581
264,0,0.7082,5665
268,0,0.7192,5753
272,0,0.7301,5840
276,0,0.7406,5925
280,0,0.7511,6008
284,0,0.7608,6086
288,0,0.7695,6155
292,0,0.7770,6216
296,0,0.7841,6273
300,0,0.7909,6327
304,0,0.7970,6375
308,0,0.8026,6420
312,0,0.8079,6463
316,0,0.8134,6507
320,0,0.8186,6548
324,0,0.8231,6585
328,0,0.8270,6615
332,0,0.8306,6644
336,0,0.8345,6676
340,0,0.8384,6706
344,0,0.8417,6733
348,0,0.8450,6759
352,0,0.8488,6790
356,0,0.8526,6820
360,0,0.8558,6846
364,0,0.8581,6864
368,0,0.8593,6874
372,0,0.8599,6879
376,0,0.8604,6882
380,0,0.8604,6883
384,0,0.8605,6884
388,0,0.8609,6887
392,0,0.8613,6890
396,0,0.8611,6888
400,0,0.8600,6879
404,0,0.8584,6867
408,0,0.8564,6851
412,0,0.8542,6833
416,0,0.8518,6814
420,0,0.8488,6790
424,0,0.8449,6758
428,0,0.8407,6725
432,0,0.8367,6693
436,0,0.8327,6661
440,0,0.8274,6618
444,0,0.8213,6570
448,0,0.8151,6521
452,0,0.8093,6474
456,0,0.8030,6423
460,0,0.7963,6370
464,0,0.7881,6305
468,0,0.7792,6233
472,0,0.7683,6146
476,0,0.7569,6055
480,0,0.7458,5966
484,0,0.7347,5877
488,0,0.7228,5782
492,0,0.7108,5686
496,0,0.7002,5601
500,0,0.6904,5523
504,0,0.6690,5352
508,0,0.6368,5094
512,0,0.5538,4430
516,0,0.4074,3259
520,0,0.2704,2163
524,0,0.1951,1560
528,0,0.1631,1304
532,0,0.1598,1278
536,0,0.1671,1336
540,0,0.1665,1332
544,0,0.1595,1276
548,0,0.1545,1235
552,0,0.1522,1217
556,0,0.1499,1199
560,0,0.1450,1159
564,0,0.1404,1123
568,0,0.1378,1102
572,0,0.1358,1086
576,0,0.1327,1061
580,0,0.1276,1021
584,0,0.1226,980
588,0,0.1188,950
592,0,0.1163,930
596,0,0.1139,911
600,0,0.1122,897
604,0,0.1118,894
608,0,0.1117,893
612,0,0.1100,879
616,0,0.1086,868
620,0,0.1078,862
624,0,0.1092,873
628,0,0.1143,914
632,0,0.1163,930
636,0,0.0997,797
0,4,0.4534,3627
4,4,0.4569,3655
8,4,0.4565,3652
12,4,0.4570,3655
16,4,0.4576,3660
20,4,0.4577,3661
24,4,0.4568,3654
28,4,0.4570,3656
32,4,0.4556,3645
36,4,0.4546,3636
40,4,0.4545,3635
44,4,0.4547,3637
48,4,0.4539,3631
52,4,0.4533,3626
56,4,0.4531,3624
60,4,0.4530,3623
64,4,0.4524,3619
68,4,0.4530,3623
72,4,0.4523,3618
76,4,0.4516,3612
80,4,0.4514,3611
84,4,0.4519,3615
88,4,0.4521,3617
92,4,0.4525,3619
96,4,0.4529,3623
100,4,0.4535,3628
104,4,0.4546,3636
108,4,0.4556,3645
112,4,0.4568,3654
116,4,0.4577,3661
120,4,0.4590,3671
124,4,0.4604,3683
128,4,0.4624,3699
132,4,0.4644,3715
136,4,0.4670,3735
140,4,0.4694,3755
144,4,0.4720,3776
148,4,0.4752,3801
152,4,0.4792,3833
156,4,0.4836,3868
160,4,0.4887,3909
164,4,0.4942,3953
168,4,0.4996,3997
172,4,0.5053,4042
176,4,0.5107,4085
180,4,0.5150,4120
184,4,0.5196,4156
188,4,0.5252,4201
192,4,0.5311,4248
196,4,0.5370,4296
200,4,0.5435,4348
204,4,0.5509,4406
208,4,0.5585,4467
212,4,0.5667,4533
216,4,0.5756,4604
220,4,0.5853,4682
224,4,0.5957,4765
228,4,0.6062,4849
232,4,0.6169,4934
236,4,0.6278,5022
240,4,0.6392,5113
244,4,0.6513,5210
248,4,0.6637,5309
252,4,0.6760,5407
256,4,0.6873,5498
260,4,0.6982,5585
264,4,0.7090,5671
268,4,0.7199,5759
272,4,0.7305,5844
276,4,0.7404,5923
280,4,0.7502,6001
284,4,0.7599,6078
288,4,0.7690,6152
292,4,0.7770,6216
296,4,0.7849,6278
300,4,0.7920,6336
304,4,0.7984,6387
308,4,0.8039,6431
312,4,0.8095,6475
